_id,time,x,y,z,__v
657313aaf0fd7e0ab1644d57,1702040490426,2.38,5.467,-0.691,0
657313aaf0fd7e0ab1644d62,1702040490596,2.333,5.637,-0.658,0
657313aaf0fd7e0ab1644d6d,1702040490785,2.333,5.637,-0.658,0
657313aaf0fd7e0ab1644d79,1702040490972,2.333,5.637,-0.658,0
657313abf0fd7e0ab1644d84,1702040491165,2.483,5.786,-0.722,0
657313abf0fd7e0ab1644d8f,1702040491357,2.483,5.786,-0.722,0
657313abf0fd7e0ab1644d9b,1702040491530,2.483,5.786,-0.722,0
657313abf0fd7e0ab1644da5,1702040491702,2.499,5.902,-0.536,0
657313abf0fd7e0ab1644db1,1702040491880,2.499,5.902,-0.536,0
657313acf0fd7e0ab1644dbc,1702040492059,2.515,6.306,0.368,0
657313acf0fd7e0ab1644dc7,1702040492240,2.515,6.306,0.368,0
657313acf0fd7e0ab1644dd3,1702040492422,2.515,6.306,0.368,0
657313acf0fd7e0ab1644ddc,1702040492599,2.464,6.456,-0.005,0
657313acf0fd7e0ab1644de7,1702040492784,2.464,6.456,-0.005,0
657313adf0fd7e0ab1644df5,1702040493006,2.464,6.456,-0.005,0
657313adf0fd7e0ab1644dff,1702040493183,2.468,6.682,-0.413,0
657313adf0fd7e0ab1644e09,1702040493374,2.468,6.682,-0.413,0
657313adf0fd7e0ab1644e13,1702040493551,2.468,6.682,-0.413,0
657313adf0fd7e0ab1644e1e,1702040493737,2.394,6.931,-0.591,0
657313adf0fd7e0ab1644e29,1702040493913,2.394,6.931,-0.591,0
657313aef0fd7e0ab1644e35,1702040494109,2.394,6.931,-0.591,0
657313aef0fd7e0ab1644e3e,1702040494287,2.491,7.278,-0.71,0
657313aef0fd7e0ab1644e4c,1702040494467,2.491,7.278,-0.71,0
657313aef0fd7e0ab1644e57,1702040494649,2.524,7.427,-0.542,0
657313aef0fd7e0ab1644e65,1702040494822,2.524,7.427,-0.542,0
657313aff0fd7e0ab1644e6f,1702040495012,2.524,7.427,-0.542,0
657313aff0fd7e0ab1644e79,1702040495191,2.53,7.57,0.223,0
657313aff0fd7e0ab1644e82,1702040495372,2.53,7.57,0.223,0
657313aff0fd7e0ab1644e90,1702040495567,2.53,7.57,0.223,0
657313aff0fd7e0ab1644e9b,1702040495768,2.532,7.699,0.004,0
657313aff0fd7e0ab1644ea9,1702040495970,2.532,7.699,0.004,0
657313b0f0fd7e0ab1644eb4,1702040496186,2.5,7.733,-0.195,0
657313b0f0fd7e0ab1644ec1,1702040496383,2.5,7.733,-0.195,0
657313b0f0fd7e0ab1644ecb,1702040496581,2.47,7.717,-0.401,0
657313b0f0fd7e0ab1644ed8,1702040496788,2.47,7.717,-0.401,0
